,Actual,Susceptible,Infectious,Recovered,Date
2020-03-13,1,998.0,2.0,0.0,2020-03-13
2020-03-14,1,996.7548208323145,2.5237175275395365,0.7214616401459146,2020-03-14
2020-03-15,1,995.1864531097656,3.1820878156964234,1.631459074537959,2020-03-15
2020-03-16,1,993.2133315645525,4.00824115351121,2.7784272819362945,2020-03-16
2020-03-17,1,990.735454235087,5.042493701420518,4.222052063492512,2020-03-17
2020-03-18,2,987.6293108509935,6.334227739574901,6.036461409431624,2020-03-18
2020-03-19,2,983.743680415257,7.942007438129588,8.314312146613435,2020-03-19
2020-03-20,2,978.8997009309925,9.93330091502683,11.166998153980678,2020-03-20
2020-03-21,7,972.8945457719778,12.37910057730555,14.726353650716657,2020-03-21
2020-03-22,10,965.4651932614822,15.377665297859107,19.15714144065869,2020-03-22
2020-03-23,16,956.3212009637398,19.026264370900538,24.652534665359724,2020-03-23
2020-03-24,19,945.1599241070943,23.40856011238492,31.431515780520826,2020-03-24
2020-03-25,24,931.6665155839994,28.594607860009376,39.73887655599126,2020-03-25
2020-03-26,38,915.5306612237093,34.63411708695134,49.8352216893394,2020-03-26
2020-03-27,42,896.5067180033909,41.520312017255854,61.97296997935334,2020-03-27
2020-03-28,57,874.2881491839646,49.227973412771846,76.48387740326359,2020-03-28
2020-03-29,62,848.7418413348717,57.63434299775523,93.62381566737318,2020-03-29
2020-03-30,69,819.945395005901,66.50568832926157,113.54891666483752,2020-03-30
2020-03-31,69,788.1871247271895,75.49730279714613,136.31557247566445,2020-03-31
2020-04-01,,753.9660590092219,84.15350562406385,161.88043536671432,2020-04-01
2020-04-02,,717.9886861394557,91.91009531296872,190.1012185475757,2020-04-02
2020-04-03,,681.063366093377,98.26488009157708,220.67175381504597,2020-04-03
2020-04-04,,644.0478826444589,102.94421878954547,253.00789856599573,2020-04-04
2020-04-05,,607.7349949940976,105.77158552808523,286.49341947781716,2020-04-05
2020-04-06,,572.8128125462409,106.66025570176595,320.5269317519932,2020-04-06
2020-04-07,,539.864794907387,105.61330597851553,354.52189911409755,2020-04-07
2020-04-08,,509.36975188658516,102.7236142996202,387.9066338137949,2020-04-08
2020-04-09,,481.69549065928896,98.18234660697028,420.1221627337408,2020-04-09
2020-04-10,,456.89990696068367,92.45029251724517,450.6498005220712,2020-04-10
2020-04-11,,434.86163828914454,85.93185913434903,479.2065025765065,2020-04-11
2020-04-12,,415.447141692282,78.93483797541899,505.6180203322991,2020-04-12
2020-04-13,,398.48487717152005,71.73703340694858,529.7780894215315,2020-04-13
2020-04-14,,383.7653076820965,64.58626264478778,551.6484296731159,2020-04-14
2020-04-15,,371.0408991330626,57.70035575414291,571.2587451127946,2020-04-15
2020-04-16,,360.0299013407877,51.26275585043379,588.7073428087785,2020-04-16
2020-04-17,,350.521146933539,45.317864897165755,604.1609881692953,2020-04-17
2020-04-18,,342.34407190089064,39.86477535192283,617.7911527471865,2020-04-18
2020-04-19,,335.3282529948078,34.911728106452024,629.7600188987402,2020-04-19
2020-04-20,,329.318706314706,30.456270022816177,640.2250236624778,2020-04-20
2020-04-21,,324.1758873074509,26.48525393339402,649.3388587591551,2020-04-21
2020-04-22,,319.77569076735864,22.974838640880144,657.2494705917613,2020-04-22
2020-04-23,,316.0094508361954,19.890488918284987,664.1000602455197,2020-04-23
2020-04-24,,312.78387238329606,17.187605893273158,670.0285217234308,2020-04-24
2020-04-25,,310.02219103073725,14.825438864303603,675.1523701049591,2020-04-25
2020-04-26,,307.6623795797946,12.769546795814467,679.5680736243909,2020-04-26
2020-04-27,,305.6483953302919,10.986307945258371,683.3652967244498,2020-04-27
2020-04-28,,303.9292265870511,9.443485264855433,686.6272881480935,2020-04-28
2020-04-29,,302.4588926807638,8.110226406223696,689.4308809130125,2020-04-29
2020-04-30,,301.19934373394847,6.958484001684059,691.8421722643675,2020-04-30
2020-05-01,,300.12290780478463,5.966084551712172,693.9110076435032,2020-05-01
2020-05-02,,299.20453260161986,5.11307193312337,695.6823954652568,2020-05-02
2020-05-03,,298.4212420315835,4.380876652407206,697.1978813160093,2020-05-03
2020-05-04,,297.7521362005867,3.7523158457274572,698.4955479536859,2020-05-04
2020-05-05,,297.17862839287295,3.2116916310709893,699.6096799760561,2020-05-05
2020-05-06,,296.687301263381,2.7469741906053224,700.5657245460137,2020-05-06
2020-05-07,,296.2680430360748,2.34903002626527,701.3829269376599,2020-05-07
2020-05-08,,295.91127046999605,2.0092309312561065,702.0794985987479,2020-05-08
2020-05-09,,295.6078673512137,1.7193790160957476,702.6727536326906,2020-05-09
2020-05-10,,295.34918449282384,1.471706708614751,703.1791087985615,2020-05-10
2020-05-11,,295.1270651260626,1.2588955785683065,703.6140392953691,2020-05-11
2020-05-12,,294.9360699703269,1.075802645148275,703.9881273845249,2020-05-12
2020-05-13,,294.7728229592845,0.9191135470861214,704.3080634936294,2020-05-13
2020-05-14,,294.63371257752476,0.7854256482874443,704.5808617741878,2020-05-14
2020-05-15,,294.5153294239738,0.671527063193283,704.813143512833,2020-05-15
2020-05-16,,294.4144662118945,0.5743966567801166,705.0111371313254,2020-05-16
2020-05-17,,294.32811776888644,0.4912040445598641,705.1806781865537,2020-05-17
2020-05-18,,294.2538588883833,0.41964613778182974,705.3264949738349,2020-05-18
2020-05-19,,294.1903274608966,0.3583972580883602,705.4512752810151,2020-05-19
2020-05-20,,294.13615291674967,0.30614469366867425,705.5577023895818,2020-05-20
2020-05-21,,294.0900387149405,0.2616469940648747,705.6483142909947,2020-05-21
2020-05-22,,294.05076617394667,0.22373730182020524,705.7254965242332,2020-05-22
2020-05-23,,294.01719447172525,0.19132335247905058,705.7914821757957,2020-05-23
2020-05-24,,293.9883312374842,0.16345358417528044,705.8482151783406,2020-05-24
2020-05-25,,293.96361073018403,0.13958011482291668,705.8968091549931,2020-05-25
2020-05-26,,293.9425183372238,0.11920685298115759,705.9382748097951,2020-05-26
2020-05-27,,293.9245595781476,0.10185746615573307,705.9735829556968,2020-05-27
2020-05-28,,293.9092695964654,0.08708416399207304,706.0036462395426,2020-05-28
2020-05-29,,293.8962131596535,0.07446769827530758,706.0293191420712,2020-05-29
2020-05-30,,293.88499629598016,0.06362847361820409,706.0513752304017,2020-05-30
2020-05-31,,293.87537859221965,0.054334072585729254,706.0702873351947,2020-05-31
2020-06-01,,293.8671674814432,0.04639845315677131,706.0864340654001,2020-06-01
2020-06-02,,293.86017425118393,0.03963941739557501,706.1001863314206,2020-06-02
2020-06-03,,293.8542213811266,0.0338855739725302,706.111893044901,2020-06-03
2020-06-04,,293.8491425431073,0.028976338164171805,706.1218811187287,2020-06-04
2020-06-05,,293.84478390898045,0.02476319003167071,706.130452900988,2020-06-05
2020-06-06,,293.8410425332116,0.021146635806043465,706.1378108309825,2020-06-06
2020-06-07,,293.8378462618586,0.018056922428687887,706.1440968157128,2020-06-07
2020-06-08,,293.8351231263018,0.015424506505601248,706.1494523671927,2020-06-08
2020-06-09,,293.832805358441,0.01318390375855008,706.1540107378006,2020-06-09
