,Actual,Susceptible,Infectious,Recovered,Date
2020-03-14,2,998.0,2.0,0.0,2020-03-14
2020-03-15,2,997.33364793246,2.2425490575261082,0.42380301001373666,2020-03-15
2020-03-16,2,996.5870990311623,2.5139533247819124,0.8989476440556662,2020-03-16
2020-03-17,2,995.7509768628502,2.8174995368708413,1.4315236002789067,2020-03-17
2020-03-18,3,994.8148529366437,3.1568181507251007,2.028328912631097,2020-03-18
2020-03-19,4,993.7671623316859,3.5358437255598965,2.6969939427541334,2020-03-19
2020-03-20,4,992.5952801484655,3.9589592916966656,3.4457605598377903,2020-03-20
2020-03-21,4,991.2851630706564,4.43101697879667,4.283819950546834,2020-03-21
2020-03-22,4,989.8211835041228,4.9572838874941825,5.22153260838293,2020-03-22
2020-03-23,6,988.1861295769188,5.543442089396493,6.270428333684634,2020-03-23
2020-03-24,6,986.3612051392886,6.195588627083903,7.4432062336273965,2020-03-24
2020-03-25,6,984.3260297636666,6.920235514109726,8.753734722223566,2020-03-25
2020-03-26,7,982.0586387446772,7.724309735000291,10.217051520322382,2020-03-26
2020-03-27,8,979.536537602495,8.614311091961723,11.84915130554318,2020-03-27
2020-03-28,9,976.7357187307324,9.596656820541318,13.667624448726109,2020-03-28
2020-03-29,11,973.6251387147287,10.681784169409596,15.693077115861584,2020-03-29
2020-03-30,12,970.1728632698469,11.879563602855907,17.94757312729711,2020-03-30
2020-03-31,14,966.3464798610993,13.198984410820216,20.454535728080387,2020-03-31
2020-04-01,15,962.1130977031476,14.648154708893092,23.238747587959274,2020-04-01
2020-04-02,,957.4393477603023,16.23430143831572,26.32635080138182,2020-04-02
2020-04-03,,952.2913827465237,17.963770365979876,29.744846887496262,2020-04-03
2020-04-04,,946.6348771254209,19.84202608442797,33.523096790151016,2020-04-04
2020-04-05,,940.4350271102522,21.873652011852993,37.691320877894654,2020-04-05
2020-04-06,,933.6565506639253,24.062350392098566,42.28109894397595,2020-04-06
2020-04-07,,926.2649873573522,26.410608820485955,47.32440382216168,2020-04-07
2020-04-08,,918.2470635695936,28.9134627114042,52.839473719002044,2020-04-08
2020-04-09,,909.568695076706,31.567458987160972,58.8638459361329,2020-04-09
2020-04-10,,900.194639491006,34.36729108955852,65.43806941943532,2020-04-10
2020-04-11,,890.1009306217328,37.302921084850915,72.5961482934161,2020-04-11
2020-04-12,,879.2748784750481,40.35957966374399,80.3655418612077,2020-04-12
2020-04-13,,867.7150692540362,43.51776614139543,88.76716460456831,2020-04-13
2020-04-14,,855.4313653587035,46.753248457414664,97.81538618388174,2020-04-14
2020-04-15,,842.4449053859793,50.037063175862954,107.51803143815759,2020-04-15
2020-04-16,,828.7881041297153,53.33551548525338,117.87638038503114,2020-04-16
2020-04-17,,814.5046525806858,56.61017919855077,128.88516822076326,2020-04-17
2020-04-18,,799.6495179265874,59.81789675317179,140.53258532024068,2020-04-18
2020-04-19,,784.2889435520393,62.910779210984884,152.8002772369757,2020-04-19
2020-04-20,,768.5004490385832,65.83620625831031,165.6633447031063,2020-04-20
2020-04-21,,752.3728301646834,68.53682620592016,179.09034362939633,2020-04-21
2020-04-22,,736.0040543677263,70.95202301368907,193.04392261858453,2020-04-22
2020-04-23,,719.482317595434,73.04486153817128,207.47282086639456,2020-04-23
2020-04-24,,702.9035412061111,74.79943271545935,222.2970260784294,2020-04-24
2020-04-25,,686.3613514826842,76.2032683881154,237.43538012920033,2020-04-25
2020-04-26,,669.9432392213525,77.24755878876381,252.80920198988355,2020-04-26
2020-04-27,,653.7305597315881,77.92715254009121,268.3422877283205,2020-04-27
2020-04-28,,637.7985328361358,78.2405566548465,283.9609105090176,2020-04-28
2020-04-29,,622.2162428710127,78.18993653584081,299.59382059314635,2020-04-29
2020-04-30,,607.046638685509,77.78111597594757,315.17224533854323,2020-04-30
2020-05-01,,592.3465336421875,77.02357715810247,330.62988919970985,2020-05-01
2020-05-02,,578.1666056168834,75.93046065530342,345.90293372781287,2020-05-02
2020-05-03,,564.5513969987051,74.51856543061062,360.930037570684,2020-05-03
2020-05-04,,551.539314690033,72.80834883714655,375.65233647282014,2020-05-04
2020-05-05,,539.1626301065209,70.8239266180959,390.013443275383,2020-05-05
2020-05-06,,527.4417818866585,68.6032156261046,403.9550024872367,2020-05-06
2020-05-07,,516.3623461187742,66.21612952838649,417.421524352839,2020-05-07
2020-05-08,,505.91015529063634,63.69843651292278,430.3914081964407,2020-05-08
2020-05-09,,496.0707659309765,61.080489776902255,442.84874429212107,2020-05-09
2020-05-10,,486.82811301578556,58.39088745291815,454.7809995312961,2020-05-10
2020-05-11,,478.16450996831355,55.6564726089682,466.17901742271806,2020-05-11
2020-05-12,,470.0606486590696,52.902333248454624,477.03701809247553,2020-05-12
2020-05-13,,462.4955994058222,50.15180231018412,487.35259828399353,2020-05-13
2020-05-14,,455.44681097359864,47.426457668367874,497.1267313580332,2020-05-14
2020-05-15,,448.8901105746858,44.74612213262154,506.3637672926924,2020-05-15
2020-05-16,,442.7997038686294,42.12886344796527,515.0714326834051,2020-05-16
2020-05-17,,437.1481749622344,39.59099429482371,523.2608307429416,2020-05-17
2020-05-18,,431.906486409565,37.147072289025964,530.9464413014089,2020-05-18
2020-05-19,,427.0439792119444,34.809899981805636,538.1461208062497,2020-05-19
2020-05-20,,422.5318032754596,32.58357682073726,544.8846199038029,2020-05-20
2020-05-21,,418.35022626880846,30.459776774163064,551.1899969570283,2020-05-21
2020-05-22,,414.47928564770405,28.438247806644508,557.0824665456512,2020-05-22
2020-05-23,,410.8995957164611,26.518577008732162,562.5818272748065,2020-05-23
2020-05-24,,407.5924289374547,24.69994533249391,567.7076257300511,2020-05-24
2020-05-25,,404.5397159311208,22.981127591514973,572.479156477364,2020-05-25
2020-05-26,,401.72404547595534,21.36049246089789,576.9154620631465,2020-05-26
2020-05-27,,399.1286645085151,19.836002477262543,581.0353330142221,2020-05-27
2020-05-28,,396.7374781234172,18.405214038746113,584.8573078378364,2020-05-28
2020-05-29,,394.5350495733392,17.065277405003137,588.3996730216573,2020-05-29
2020-05-30,,392.50660026901926,15.812936697205448,591.680463033775,2020-05-30
2020-05-31,,390.6380097792558,14.644529898042222,594.7174603227016,2020-05-31
2020-06-01,,388.915815830908,13.555988851719967,597.5281953173718,2020-06-01
2020-06-02,,387.3272143088953,12.542839263962502,600.1299464271419,2020-06-02
2020-06-03,,385.8600592561977,11.60020070201097,602.5397400417911,2020-06-03
2020-06-04,,384.5045568212166,10.723062970043797,604.7723802087393,2020-06-04
2020-06-05,,383.2544060582824,9.90754491099748,606.8380490307198,2020-06-05
2020-06-06,,382.1026650976249,9.150223447158622,608.7471114552162,2020-06-06
2020-06-07,,381.04258977622294,8.447745052648509,610.5096651711283,2020-06-07
2020-06-08,,380.067645079096,7.796825617433626,612.1355293034701,2020-06-08
2020-06-09,,379.17150513930403,7.194250447325654,613.6342444133701,2020-06-09
2020-06-10,,378.3480532379477,6.63687426398147,615.0150724980706,2020-06-10
2020-06-11,,377.5913818041681,6.12162120490315,616.2869969909284,2020-06-11
2020-06-12,,376.8957924151472,5.645484823437969,617.4587227614146,2020-06-12
2020-06-13,,376.2557957961071,5.205528088778395,618.5386761151142,2020-06-13
2020-06-14,,375.66611182031096,4.798883385962097,619.5350047937267,2020-06-14
2020-06-15,,375.1216946903908,4.422756828892738,620.4555484807163,2020-06-15
2020-06-16,,374.6192239398265,4.0748196083121755,621.3059564518611,2020-06-16
2020-06-17,,374.15631912760676,3.7533274777426873,622.0903533946504,2020-06-17
2020-06-18,,373.73032694455276,3.456590948221165,622.8130821072258,2020-06-18
2020-06-19,,373.33867043662195,3.182967313236524,623.4783622501413,2020-06-19
