,Actual,Susceptible,Infectious,Recovered,Date
2020-03-13,4,9998.0,2.0,0.0,2020-03-13
2020-03-14,6,9996.213154279134,2.6352981419176933,1.1515475789484346,2020-03-14
2020-03-15,6,9993.859144984186,3.471925473107874,2.668929542707279,2020-03-15
2020-03-16,8,9990.75963639771,4.572964544731942,4.667399057559627,2020-03-16
2020-03-17,8,9986.679606581092,6.021403327951256,7.298990090957579,2020-03-17
2020-03-18,12,9981.308272245535,7.9265906412629965,10.765137113204766,2020-03-18
2020-03-19,19,9974.243680891806,10.429059275056337,15.327259833138058,2020-03-19
2020-03-20,19,9964.970337523417,13.709735040652689,21.31992743593147,2020-03-20
2020-03-21,29,9952.79167348137,18.010345649240897,29.197980869390186,2020-03-21
2020-03-22,34,9936.803590026186,23.640774071441136,39.55563590237437,2020-03-22
2020-03-23,45,9915.88667081277,30.978063819932938,53.13526536729897,2020-03-23
2020-03-24,51,9888.599401454654,40.50327388802185,70.89732465732514,2020-03-24
2020-03-25,65,9853.061179033908,52.851951237329544,94.08686972876413,2020-03-25
2020-03-26,90,9806.903469264927,68.77087782192316,124.32565291314978,2020-03-26
2020-03-27,121,9747.26537124193,89.11381508450054,163.62081367356993,2020-03-27
2020-03-28,147,9670.86546966748,114.7929789529001,214.34155137962085,2020-03-28
2020-03-29,161,9573.936631712026,146.719814080968,279.3435542070073,2020-03-29
2020-03-30,177,9451.32230155778,186.29466973064677,362.38302871157293,2020-03-30
2020-03-31,198,9298.335844080231,234.28880638827528,467.37534953149407,2020-03-31
2020-04-01,,9111.039820759333,290.67173313003775,598.2884461106305,2020-04-01
2020-04-02,,8886.245989679512,354.611207621964,759.1428026985251,2020-04-02
2020-04-03,,8620.78304431967,425.2049573732761,954.0119983070545,2020-04-03
2020-04-04,,8315.618260190715,499.2204970720328,1185.161242737253,2020-04-04
2020-04-05,,7978.194707649549,569.926165709143,1451.8791266413093,2020-04-05
2020-04-06,,7616.947454803382,631.6507632564878,1751.401781940131,2020-04-06
2020-04-07,,7241.1508808175695,679.9117699354501,2078.937349246981,2020-04-07
2020-04-08,,6860.918675915607,711.4153462169136,2427.6659778674793,2020-04-08
2020-04-09,,6487.203841379136,724.0563328212637,2788.7398257996015,2020-04-09
2020-04-10,,6131.7986895479335,716.9182507183871,3151.283059733679,2020-04-10
2020-04-11,,5805.01831502554,691.0109504674756,3503.970734506985,2020-04-11
2020-04-12,,5510.030056851259,650.3254079197447,3839.6445352289966,2020-04-12
2020-04-13,,5249.229229258594,598.6506038742026,4152.120166867204,2020-04-13
2020-04-14,,5023.073141918653,539.9080100153581,4437.018848065989,2020-04-14
2020-04-15,,4829.97423973384,478.18900682233163,4691.836753443829,2020-04-15
2020-04-16,,4666.300102837858,417.7548835688538,4915.945013593289,2020-04-16
2020-04-17,,4527.494327269399,361.91491311376507,5110.590759616836,2020-04-17
2020-04-18,,4411.121069974066,310.56250625687073,5278.316423769064,2020-04-18
2020-04-19,,4314.004176150337,264.22277913171064,5421.773044717953,2020-04-19
2020-04-20,,4233.246379394725,223.20258910224024,5543.551031503035,2020-04-20
2020-04-21,,4166.313322984714,187.5046363737097,5646.182040641576,2020-04-21
2020-04-22,,4111.033559878763,156.82746399266432,5732.138976128574,2020-04-22
2020-04-23,,4065.491914162436,130.62542594164088,5803.882659895923,2020-04-23
2020-04-24,,4027.959318579059,108.42414997616402,5863.616531444777,2020-04-24
2020-04-25,,3997.1839170668745,89.75645295731763,5913.059629975808,2020-04-25
2020-04-26,,3972.017821472919,74.16058335465382,5953.821595172427,2020-04-26
2020-04-27,,3951.398215346515,61.184345859968886,5987.417438793516,2020-04-27
2020-04-28,,3934.3815034071886,50.389706437045014,6015.228790155767,2020-04-28
2020-04-29,,3920.3816590831893,41.42878376684652,6038.1895571499645,2020-04-29
2020-04-30,,3908.939642845647,34.034839646768745,6057.0255175075845,2020-04-30
2020-05-01,,3899.6175273558465,27.9583677628265,6072.424104881327,2020-05-01
2020-05-02,,3892.00462289061,22.965007475933696,6085.030369633457,2020-05-02
2020-05-03,,3885.727383815317,18.83936559627417,6095.4332505884095,2020-05-03
2020-05-04,,3880.561839862533,15.435312526556409,6104.002847610911,2020-05-04
2020-05-05,,3876.341802802983,12.644716369396317,6111.013480827622,2020-05-05
2020-05-06,,3872.905203366877,10.364887151922263,6116.7299094812015,2020-05-06
2020-05-07,,3870.1008831070567,8.500116517133188,6121.399000375811,2020-05-07
2020-05-08,,3867.791467332501,6.963266678078857,6125.245265989421,2020-05-08
2020-05-09,,3865.8920586091326,5.6980864504887645,6128.409854940379,2020-05-09
2020-05-10,,3864.3405813293093,4.663361437890927,6130.9960572328,2020-05-10
2020-05-11,,3863.076852594132,3.819570947277602,6133.10357645859,2020-05-11
2020-05-12,,3862.0451855954807,3.13015097429669,6134.824663430223,2020-05-12
2020-05-13,,3861.19582699356,2.562394281352302,6136.241778725089,2020-05-13
2020-05-14,,3860.4981206134776,2.0958287247500746,6137.406050661773,2020-05-14
2020-05-15,,3859.928504760451,1.7147407553649592,6138.356754484185,2020-05-15
2020-05-16,,3859.4645359040032,1.4042021944795344,6139.131261901518,2020-05-16
2020-05-17,,3859.085507356717,1.1504405994888451,6139.764052043795,2020-05-17
2020-05-18,,3858.773315050737,0.9414054384011573,6140.285279510863,2020-05-18
2020-05-19,,3858.51715116231,0.7698581349585624,6140.712990702733,2020-05-19
2020-05-20,,3858.3081248071694,0.6298532896587404,6141.062021903173,2020-05-20
2020-05-21,,3858.1378585753337,0.5157921415171209,6141.346349283151,2020-05-21
2020-05-22,,3857.9986365346435,0.42251806941834236,6141.578845395939,2020-05-22
2020-05-23,,3857.883917730611,0.34565768073440606,6141.770424588656,2020-05-23
2020-05-24,,3857.7898899849074,0.2826560745158089,6141.927453940578,2020-05-24
2020-05-25,,3857.71320171121,0.23126910412712687,6142.055529184664,2020-05-25
2020-05-26,,3857.650725074202,0.18940264736002227,6142.159872278439,2020-05-26
2020-05-27,,3857.599582782144,0.1551303328252572,6142.245286885032,2020-05-27
2020-05-28,,3857.5574382211116,0.12688735802993956,6142.31567442086,2020-05-28
2020-05-29,,3857.5229294757555,0.10376091103226422,6142.373309613214,2020-05-29
2020-05-30,,3857.4947963279565,0.08490668513859946,6142.420296986907,2020-05-30
2020-05-31,,3857.471871009457,0.06954231897020921,6142.458586671574,2020-05-31
2020-06-01,,3857.4530804796123,0.056948916415296286,6142.489970603973,2020-06-01
2020-06-02,,3857.437602012983,0.046575200403272114,6142.515822786615,2020-06-02
2020-06-03,,3857.424938355902,0.038087897583035546,6142.536973746515,2020-06-03
2020-06-04,,3857.4146180033554,0.03117103649708508,6142.554210960148,2020-06-04
2020-06-05,,3857.4062050977245,0.02553253441983345,6142.568262367857,2020-06-05
2020-06-06,,3857.399300410693,0.020904855092446196,6142.579794734215,2020-06-06
2020-06-07,,3857.3936165930863,0.017095421581385377,6142.589287985334,2020-06-07
2020-06-08,,3857.38896967233,0.013980930491627928,6142.59704939718,2020-06-08
2020-06-09,,3857.385183728403,0.011443480574339648,6142.6033727910235,2020-06-09
2020-06-10,,3857.382096187557,0.009374115265282298,6142.608529697179,2020-06-10
2020-06-11,,3857.379559067745,0.00767365724572979,6142.61276727501,2020-06-11
2020-06-12,,3857.3774720656697,0.006274881034306477,6142.6162530532965,2020-06-12
2020-06-13,,3857.375766848818,0.0051319880656481125,6142.619101163117,2020-06-13
2020-06-14,,3857.374377944298,0.004201096949395325,6142.621420958753,2020-06-14
2020-06-15,,3857.373244799727,0.0034416241397895323,6142.623313576134,2020-06-15
2020-06-16,,3857.3723126925083,0.0028168933185972553,6142.624870414174,2020-06-16
2020-06-17,,3857.3715463368744,0.0023032548029465307,6142.626150408324,2020-06-17
2020-06-18,,3857.370920478894,0.0018837825454148189,6142.6271957385625,2020-06-18
2020-06-19,,3857.3704109017863,0.001542245698851621,6142.6280468525165,2020-06-19
